Date,Price
06/10/21,1896.65
06/09/21,1895.5
06/08/21,1894.4
06/07/21,1898.8
06/04/21,1892
06/03/21,1873.3
06/02/21,1909.9
06/01/21,1905
05/31/21,1911.15
05/30/21,1906.75
05/28/21,1905.3
05/27/21,1898.5
05/26/21,1903.8
05/25/21,1900.5
05/24/21,1886.7
05/21/21,1878.9
05/20/21,1883.9
05/19/21,1883.4
05/18/21,1870.1
05/17/21,1869.6
05/14/21,1840
05/13/21,1826.1
05/12/21,1824.8
05/11/21,1838.1
05/10/21,1839.8
05/07/21,1833.5
05/06/21,1817.9
05/05/21,1786.5
05/04/21,1778.2
05/03/21,1794
04/30/21,1769.8
04/29/21,1770.5
04/28/21,1776.1
04/27/21,1781
04/26/21,1782.3
04/23/21,1779.9
04/22/21,1784
04/21/21,1795.2
04/20/21,1780.4
04/19/21,1772.7
04/16/21,1782.2
04/15/21,1768.8
04/14/21,1738.2
04/13/21,1749.5
04/12/21,1734.6
04/09/21,1746.8
04/08/21,1760.3
04/07/21,1743.6
04/06/21,1745
04/05/21,1730.7
04/01/21,1730.3
03/31/21,1717.5
03/30/21,1687.9
03/29/21,1716.5
03/26/21,1736.5
03/25/21,1729.1
03/24/21,1737.2
03/23/21,1729.5
03/22/21,1742.4
03/19/21,1745.8
03/18/21,1736.5
03/17/21,1731.1
03/16/21,1735.2
03/15/21,1733.8
03/12/21,1724.3
03/11/21,1727.2
03/10/21,1726.5
03/09/21,1721.9
03/08/21,1682.9
03/05/21,1703.8
03/04/21,1705.9
03/03/21,1721
03/02/21,1738.8
03/01/21,1728.2
02/26/21,1734
02/25/21,1780.8
02/24/21,1802.8
02/23/21,1810.5
02/22/21,1813.2
02/19/21,1782.2
02/18/21,1779.9
02/17/21,1777.7
02/16/21,1803.9
02/15/21,1818.75
02/14/21,1821.05
02/12/21,1828.1
02/11/21,1832
02/10/21,1847.7
02/09/21,1842.4
02/08/21,1838.9
02/05/21,1817.8
02/04/21,1795.9
02/03/21,1839.6
02/02/21,1837.6
02/01/21,1867.4
01/29/21,1854.7
01/28/21,1845.8
01/27/21,1853.8
01/26/21,1859.8
01/25/21,1863.9
01/22/21,1864.8
01/21/21,1874
01/20/21,1874.8
01/19/21,1849
01/18/21,1836.6
01/17/21,1809.75
01/15/21,1839
01/14/21,1861
01/13/21,1864.6
01/12/21,1854.1
01/11/21,1860.9
01/08/21,1845.4
01/07/21,1924
01/06/21,1919.4
01/05/21,1965.2
01/04/21,1957.6
01/01/21,1901.6
12/31/20,1905.8
12/30/20,1904
12/29/20,1893.4
12/28/20,1890.8
12/24/20,1893.1
12/23/20,1887.6
12/22/20,1880
12/21/20,1892.2
12/18/20,1898.2
12/17/20,1899.5
12/16/20,1867.9
12/15/20,1864.9
12/14/20,1841.9
12/11/20,1853.1
12/10/20,1846.9
12/09/20,1847.7
12/08/20,1884.2
12/07/20,1875.3
12/04/20,1849
12/03/20,1849
12/02/20,1838.4
12/01/20,1827.8
08/30/20,1790.2
08/27/20,1797.5
08/26/20,1807
08/25/20,1820.2
08/24/20,1820.6
08/23/20,1854.3
08/20/20,1888.2
08/19/20,1877.4
08/18/20,1889.5
08/17/20,1902.6
08/16/20,1906
08/13/20,1906.3
08/12/20,1893.5
08/11/20,1881.1
08/10/20,1896.9
08/09/20,1874.5
08/06/20,1973
08/05/20,1967.3
08/04/20,1916.1
08/03/20,1930.1
08/02/20,1912.5
08/30/20,1899.9
08/29/20,1888.2
08/28/20,1900
08/27/20,1932.9
08/26/20,1927.1
08/23/20,1926.4
08/22/20,1925.7
08/21/20,1950.3
08/20/20,1936.3
08/19/20,1933
08/16/20,1928.3
08/15/20,1930.8
08/14/20,1929.8
08/13/20,1916.7
08/12/20,1950.7
08/09/20,1947.8
08/08/20,1916.8
08/07/20,1911.6
08/06/20,1928.3
08/05/20,1939
08/02/20,1926.6
08/01/20,1935.4
09/30/20,1914.6
09/29/20,1922.1
09/28/20,1901
09/25/20,1884.8
09/24/20,1894.9
09/23/20,1887
09/22/20,1927.5
09/21/20,1930
09/18/20,1981.9
09/17/20,1969.3
09/16/20,1990.7
09/15/20,1986.4
09/14/20,1983.9
09/11/20,1967.4
09/10/20,1983.2
09/09/20,1972.9
09/08/20,1961.8
09/07/20,1937.1
09/06/20,1940.65
09/04/20,1952.8
09/03/20,1956
09/02/20,1964.5
09/01/20,1998.8
12/31/20,1999.1
12/28/20,1993.2
12/27/20,1953.1
12/26/20,1974.4
12/25/20,1945.2
12/24/20,1962.3
12/21/20,1969.6
12/20/20,1969.5
12/19/20,1992.5
12/18/20,2036.2
12/17/20,2021.6
12/14/20,1976.8
12/13/20,1998.3
12/12/20,1976.5
12/11/20,1976.1
12/10/20,2072.4
12/07/20,2061.4
12/06/20,2103.2
12/05/20,2081.7
12/04/20,2052.6
12/03/20,2017.7
03/02/20,2017.1
03/01/20,1997.7
02/29/20,2007.7
02/28/20,1996.6
02/27/20,1988.3
02/24/20,1957.5
02/23/20,1947.2
02/22/20,1919
02/21/20,1891.9
02/20/20,1860.8
02/17/20,1854.3
02/16/20,1847.4
02/15/20,1862.8
02/14/20,1862.7
02/13/20,1864.8
02/10/20,1852
02/09/20,1854
02/08/20,1871.2
02/07/20,1851.8
02/06/20,1830.8
02/03/20,1787.6
02/02/20,1825
02/01/20,1814.8
06/30/20,1833.2
06/29/20,1812.6
06/26/20,1810.8
06/25/20,1800.9
06/24/20,1805.1
06/23/20,1809.7
06/22/20,1794.7
06/19/20,1782.1
06/18/20,1761.9
06/17/20,1767.4
06/16/20,1768.2
06/15/20,1758.5
06/12/20,1768.1
06/11/20,1771.3
06/10/20,1753.5
06/09/20,1755
06/08/20,1738.5
06/05/20,1716
06/04/20,1759.3
06/03/20,1732.8
06/02/20,1759.6
06/01/20,1773.7
05/29/20,1773.8
05/28/20,1750.3
05/27/20,1746.8
05/26/20,1745.9
05/25/20,1727
05/24/20,1730.65
05/22/20,1770.8
05/21/20,1756.4
05/20/20,1788.2
05/19/20,1780.4
05/18/20,1767.9
05/15/20,1786.2
05/14/20,1770.9
05/13/20,1747.1
05/12/20,1738.5
05/11/20,1731.5
05/08/20,1748.3
05/07/20,1757.6
05/06/20,1718.4
05/05/20,1740.5
05/04/20,1737.7
05/01/20,1717.8
04/30/20,1709.9
04/29/20,1727
04/28/20,1735.4
04/27/20,1735.5
04/24/20,1745.6
04/23/20,1754.5
04/22/20,1746.5
04/21/20,1694.9
04/20/20,1718
04/17/20,1705.6
04/16/20,1739.4
04/15/20,1748.2
04/14/20,1773.5
04/13/20,1764.6
04/10/20,1740.6
04/09/20,1755.4
04/08/20,1685.8
04/07/20,1685.4
04/06/20,1696
04/03/20,1650.1
04/02/20,1642.7
04/01/20,1597.6
03/31/20,1602.7
03/30/20,1649.3
03/27/20,1661
03/26/20,1668.3
03/25/20,1639
03/24/20,1669.2
03/23/20,1588.3
03/20/20,1501.4
03/19/20,1497.2
03/18/20,1494.6
03/17/20,1541.1
03/16/20,1500
03/13/20,1532.2
03/12/20,1606.5
03/11/20,1658.3
03/10/20,1676.6
03/09/20,1691.5
03/06/20,1691.6
